model,validation_mae,test_mae,test_prediction_mean
Ridge/LightGBM blend,1.0906026830806714,1.028669609177672,2.12045377368117
LightGBM,1.1208995841539664,1.0480885758720653,2.176105677832092
Selected Ridge,1.1536141032233838,1.1071533911559228,2.1759016513824463
LightGBM without target encoding,1.1927050027866817,,
